_id,GEOIDFQ,OBJECTID,agency,change_log,comments,county,direction,empty_feat,end_date,feed_version,from_gtfs,hood,mode,muni,munihood_display,munihood_full,route_code,route_filter,route_sort,start_date,status_code,status_end_date,status_notes,status_start_date,stop_code,stop_id,stop_lat,stop_lon,stop_name,stop_route,svc_days,trips_7d,trips_sa,trips_su,trips_wd,geometry
2856,1000000US420034250002000,312433,PRT,,,"Allegheny County, PA",IB,0,2099-12-31T06:00:00,2602,1,,BUS,"Etna borough (Allegheny, PA)",Etna bgh,"Etna bgh, Allegheny County","2,P13",All Routes,0,2026-02-22T06:00:00,1,2099-12-31T06:00:00,,1970-01-01T06:00:00,19531,N24002,40.50679,-79.951019,GRANT AVE AT LEHR AVE FS,N24002,"WD,SA,SU",120,8,7,21,POINT (588876.0297900794539601 4484536.9037221046164632)
2857,1000000US420034250001006,312436,PRT,,,"Allegheny County, PA",OB,0,2099-12-31T06:00:00,2602,1,,BUS,"Etna borough (Allegheny, PA)",Etna bgh,"Etna bgh, Allegheny County","2,P13",All Routes,0,2026-02-22T06:00:00,1,2099-12-31T06:00:00,,1970-01-01T06:00:00,2429,N24005,40.50675,-79.950894,GRANT AVE AT MT HOPE ST,N24005,"WD,SA,SU",120,8,7,21,POINT (588886.6735487715341151 4484532.5895731402561069)
2858,1000000US420034250002031,312439,PRT,,,"Allegheny County, PA",IB,0,2099-12-31T06:00:00,2602,1,,BUS,"Etna borough (Allegheny, PA)",Etna bgh,"Etna bgh, Allegheny County","2,P13",All Routes,0,2026-02-22T06:00:00,1,2099-12-31T06:00:00,,1970-01-01T06:00:00,16484,N24095,40.502019,-79.946954,CRESCENT ST AT SULLIVAN WAY,N24095,"WD,SA,SU",120,8,7,21,POINT (589226.7700432213023305 4484011.4130778908729553)
2859,1000000US420034250002001,312442,PRT,,,"Allegheny County, PA",IB,0,2099-12-31T06:00:00,2602,1,,BUS,"Etna borough (Allegheny, PA)",Etna bgh,"Etna bgh, Allegheny County","2,P13",All Routes,0,2026-02-22T06:00:00,1,2099-12-31T06:00:00,,1970-01-01T06:00:00,3362,N24100,40.505177,-79.949951,GRANT AVE AT VILSACK ST,N24100,"WD,SA,SU",120,8,7,21,POINT (588968.6504107726505026 4484358.9327853377908468)
2860,1000000US420034250002006,312445,PRT,,,"Allegheny County, PA",IB,0,2099-12-31T06:00:00,2602,1,,BUS,"Etna borough (Allegheny, PA)",Etna bgh,"Etna bgh, Allegheny County","2,P13",All Routes,0,2026-02-22T06:00:00,1,2099-12-31T06:00:00,,1970-01-01T06:00:00,3363,N24110,40.504208,-79.949249,GRANT AVE AT WILSON ST,N24110,"WD,SA,SU",120,8,7,21,POINT (589029.4119462546659634 4484252.0793313719332218)
2861,1000000US420034250001018,312448,PRT,,,"Allegheny County, PA",OB,0,2099-12-31T06:00:00,2602,1,,BUS,"Etna borough (Allegheny, PA)",Etna bgh,"Etna bgh, Allegheny County","2,P13",All Routes,0,2026-02-22T06:00:00,1,2099-12-31T06:00:00,,1970-01-01T06:00:00,2430,N24120,40.508453,-79.95202,GRANT AVE AT HERMAN ST,N24120,"WD,SA,SU",120,8,7,21,POINT (588789.0241029663011432 4484720.4933796813711524)
2862,1000000US420034250001015,312451,PRT,,,"Allegheny County, PA",OB,0,2099-12-31T06:00:00,2602,1,,BUS,"Etna borough (Allegheny, PA)",Etna bgh,"Etna bgh, Allegheny County","2,P13",All Routes,0,2026-02-22T06:00:00,1,2099-12-31T06:00:00,,1970-01-01T06:00:00,16485,N24130,40.502042,-79.946767,CRESCENT ST OPP SULLIVAN WAY,N24130,"WD,SA,SU",120,8,7,21,POINT (589242.5847394345328212 4484014.1553220786154270)
2863,1000000US420034250001007,312454,PRT,,,"Allegheny County, PA",OB,0,2099-12-31T06:00:00,2602,1,,BUS,"Etna borough (Allegheny, PA)",Etna bgh,"Etna bgh, Allegheny County","2,P13",All Routes,0,2026-02-22T06:00:00,1,2099-12-31T06:00:00,,1970-01-01T06:00:00,2428,N24140,40.505123,-79.949829,GRANT AVE OPP VILSACK ST,N24140,"WD,SA,SU",120,8,7,21,POINT (588979.0587897697696462 4484353.0616975380107760)
2864,1000000US420034250001006,312457,PRT,,,"Allegheny County, PA",OB,0,2099-12-31T06:00:00,2602,1,,BUS,"Etna borough (Allegheny, PA)",Etna bgh,"Etna bgh, Allegheny County","2,P13",All Routes,0,2026-02-22T06:00:00,1,2099-12-31T06:00:00,,1970-01-01T06:00:00,2427,N24150,40.504141,-79.949046,GRANT AVE OPP WILSON ST,N24150,"WD,SA,SU",120,8,7,21,POINT (589046.7009163750335574 4484244.8470599651336670)
2865,1000000US420034311002014,312460,PRT,,,"Allegheny County, PA",OB,0,2099-12-31T06:00:00,2602,1,,BUS,"Bellevue borough (Allegheny, PA)",Bellevue bgh,"Bellevue bgh, Allegheny County",19L,All Routes,0,2026-02-22T06:00:00,1,2099-12-31T06:00:00,,1970-01-01T06:00:00,1670,N24180,40.490247,-80.050707,GRANT AVE AT DAVIS AVE,N24180,WD,30,0,0,6,POINT (580449.4896063175983727 4482604.9145572250708938)
